normalization,standardization,image_type,channel_image,image_resize_x,image_resize_y,Image_path,color_ratio
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\PLANTSxFISH03_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,0.7114434195086212
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\PLANTSxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,0.5801579065618069
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\PLANTSxFISH02_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,0.6331285550410548
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\PLANTSxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,0.6947253041833675
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\PLANTSxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,0.7059217440716338
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\GRAVELxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,0.8686427999600665
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\GRAVELxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,0.6803105639404108
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\GRAVELxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,0.8491565148764799
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\GRAVELxFISH04_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,0.6864222527326049
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\GRAVELxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,0.7721000689980183
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\GRAVELxFISH03_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,0.691267736382838
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\GRAVELxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,0.6162032130873885
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\GRAVELxFISH02_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,0.6591436016241984
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\GRAVELxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,0.70841189962031
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\GRAVELxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,0.6923183379163438
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\DETRITUSxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,0.8348656824124026
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\DETRITUSxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,0.5995208189516071
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\DETRITUSxFISH04_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,0.8410304413451716
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\DETRITUSxFISH04_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,0.6644255630318137
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\DETRITUSxFISH03_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,0.7936582264831761
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\DETRITUSxFISH03_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,0.6166646332276636
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\DETRITUSxFISH02_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,0.6771658150097388
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\DETRITUSxFISH02_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,0.6129567596394982
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\DETRITUSxFISH01_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,0.8063386452181106
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\DETRITUSxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,0.6208525772455166
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\BOULDERxSANDxFISH10_colorcontrolON_1vs1e3_TVlossON_1e-3_layers1and2.png,0.7910599551403209
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\BOULDERxSANDxFISH10_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,0.6569877174789269
